Sr. No,Sample ID,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
1,SSBS/M/2021/1,04-10-2021,"Sanjeevan Hospital, Kothrud",Genepath,0,0,0,Negative
2,SSBS/M/2021/2,04-10-2021,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
3,SSBS/M/2021/3,04-10-2021,"Karve Road, Kothrud",Genepath,0,0,0,Negative
4,SSBS/M/2021/4,04-10-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
5,SSBS/M/2021/5,04-10-2021,Shivajinagar,Genepath,0,0,0,Negative
6,SSBS/M/2021/6,04-10-2021,"Pune-Mumbai Highway NH, Shivajinagar",Genepath,0,0,0,Negative
7,SSBS/M/2021/7,05-10-2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
8,SSBS/M/2021/8,05-10-2021,Baner-Balewadi,Genepath,0,0,0,Negative
9,SSBS/M/2021/9,05-10-2021,Pashan,Genepath,0,0,0,Negative
10,SSBS/M/2021/10,05-10-2021,"Sus-Pashan road, Pashan",Genepath,0,0,0,Negative
11,SSBS/M/2021/11,06-10-2021,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
12,SSBS/M/2021/12,06-10-2021,"Vitthalwadi, Hingane, Sinhagad Road",Genepath,0,0,0,Negative
13,SSBS/M/2021/13,06-10-2021,"Juna Bazaar, Sangam Bridge, Shivajinagar",Genepath,0,0,0,Negative
14,SSBS/M/2021/14,06-10-2021,"RTO office, Alandi road Yerwada",Genepath,0,0,0,Negative
15,SSBS/M/2021/15,07-10-2021,"Aditya Birla Hospital, Chinchwad",Genepath,0,0,0,Negative
16,SSBS/M/2021/16,07-10-2021,"Laxminagar, Pimpri",Genepath,0,0,0,Negative
17,SSBS/M/2021/17,07-10-2021,"Pimple Gurav road, Kasarwadi",Genepath,0,0,0,Negative
18,SSBS/M/2021/18,07-10-2021,"60-feet road, pimple gurav",Genepath,0,0,0,Negative
19,SSBS/M/2021/19,07-10-2021,"Old Sangvi bridge, Dapodi Gaothan",Genepath,33.7,31.6,33.2,Positive
