Sr. No,Date,Location,CtN,CtE,CtRdRp,PCR Result
1.0,04-10-2021,"Sanjeevan Hospital, Kothrud",0.0,0.0,0.0,Negative
2.0,04-10-2021,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
3.0,04-10-2021,"Karve Road, Kothrud",0.0,0.0,0.0,Negative
4.0,04-10-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
5.0,04-10-2021,Shivajinagar,0.0,0.0,0.0,Negative
6.0,04-10-2021,"Pune-Mumbai Highway NH, Shivajinagar",0.0,0.0,0.0,Negative
7.0,05-10-2021,"Baner, Mahalunge Bridge",0.0,0.0,0.0,Negative
8.0,05-10-2021,Baner-Balewadi,0.0,0.0,0.0,Negative
9.0,05-10-2021,Pashan,0.0,0.0,0.0,Negative
10.0,05-10-2021,"Sus-Pashan road, Pashan",0.0,0.0,0.0,Negative
11.0,06-10-2021,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
12.0,06-10-2021,"Vitthalwadi, Hingane, Sinhagad Road",0.0,0.0,0.0,Negative
13.0,06-10-2021,"Juna Bazaar, Sangam Bridge, Shivajinagar",0.0,0.0,0.0,Negative
14.0,06-10-2021,"RTO office, Alandi road Yerwada",0.0,0.0,0.0,Negative
15.0,07-10-2021,"Aditya Birla Hospital, Chinchwad",0.0,0.0,0.0,Negative
16.0,07-10-2021,"Laxminagar, Pimpri",0.0,0.0,0.0,Negative
17.0,07-10-2021,"Pimple Gurav road, Kasarwadi",0.0,0.0,0.0,Negative
18.0,07-10-2021,"60-feet road, pimple gurav",0.0,0.0,0.0,Negative
19.0,07-10-2021,"Old Sangvi bridge, Dapodi Gaothan",33.7,31.6,33.2,Positive
20.0,08-10-2021,"Rahatani, New DP road",35.7,35.6,0.0,Positive
21.0,08-10-2021,"Kalewadi Road, New India Garage",37.8,36.9,0.0,Positive
22.0,08-10-2021,"Pimpri, near Kalewadi Bridge",0.0,0.0,0.0,Negative
23.0,08-10-2021,Backside of Sai service Dapodi,0.0,0.0,0.0,Negative
24.0,08-10-2021,"Harris Bridge, Dapodi, Bopodi",0.0,0.0,0.0,Negative
25.0,09-10-2021,Yerwada bund Garden,0.0,0.0,0.0,Negative
26.0,09-10-2021,Vishrantwadi,38.7,37.5,36.1,Positive
27.0,11-10-2021,"Vaidhwadi Nala Catchment, Shivajinagar",36.0,34.9,36.3,Positive
28.0,11-10-2021,"Chaturshrungi Nala Catchment, Shivajinagar",33.8,33.0,34.6,Positive
29.0,11-10-2021,"Sanjeevan Hospital, Kothrud",35.3,34.6,35.8,Positive
30.0,11-10-2021,"Karve Road, Kothrud",35.7,0.0,34.5,Positive
31.0,11-10-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",35.5,34.6,36.9,Positive
32.0,11-10-2021,"Bus Depot (main), Kothrud",34.1,32.3,33.5,Positive
33.0,12-10-2021,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
34.0,12-10-2021,"Jai Bhawani nagar, Pashan",0.0,0.0,0.0,Inconclusive
35.0,12-10-2021,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
36.0,12-10-2021,"Irene Towers, Baner road, Aundh",0.0,0.0,0.0,Negative
37.0,12-10-2021,"Mahalunge Road, Baner",0.0,0.0,0.0,Inconclusive
38.0,13-10-2021,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
39.0,13-10-2021,"Shastri nagar, Pimpri",37.0,35.1,35.7,Positive
40.0,13-10-2021,"Kasarwadi, Pimple gurav road",35.2,35.0,36.4,Positive
41.0,13-10-2021,"Pimple Gurav, 60-feet road, Pimple Gurav",37.1,35.8,0.0,Positive
42.0,13-10-2021,"Dapodi gaothan, Old Sangvi bridge",0.0,0.0,0.0,Negative
43.0,13-10-2021,"Harris Bridge, Dapodi-Bopodi",0.0,0.0,0.0,Negative
44.0,13-10-2021,"Sandvik Cormorant, Phugewadi-Dapodi",0.0,0.0,0.0,Negative
45.0,13-10-2021,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
46.0,13-10-2021,"Adarsh nagar, Kalewadi road, Kalewadi",36.0,35.6,38.0,Positive
47.0,18-10-2021,"Chaturshrungi Nala Catchment, Shivajinagar",0.0,0.0,0.0,Negative
48.0,18-10-2021,"Vaidhwadi Nala Catchment, Shivajinagar",0.0,33.7,35.2,Positive
49.0,18-10-2021,"Sanjeevan Hospital, Kothrud",0.0,0.0,0.0,Negative
50.0,18-10-2021,"Karve Road, Kothrud",0.0,0.0,0.0,Negative
51.0,18-10-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,36.3,36.9,Positive
52.0,18-10-2021,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
53.0,19-10-2021,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
54.0,19-10-2021,"Balewadi Phata, Baner",37.5,33.8,36.0,Positive
55.0,19-10-2021,"Irene Towers, Baner road, Aundh",0.0,0.0,0.0,Negative
56.0,19-10-2021,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
57.0,19-10-2021,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
58.0,19-10-2021,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
59.0,20-10-2021,"Dattawadi, Rajaram Bridge",37.2,34.4,35.2,Positive
60.0,20-10-2021,Vitthalwadi-Hingne,0.0,0.0,0.0,Negative
61.0,20-10-2021,"Kasba peth, Juna Bazaar, Shivajinagar",37.7,34.7,0.0,Positive
62.0,20-10-2021,"Old bund garden, Yerwada",37.8,36.4,36.5,Positive
