dailysamples,dailyconfirmed,dailyrecovered,dailydeceased,Date,Sr. No,Location,CtN,CtE,CtRdRp,PCR_Result
2660,224,241,4,12/1/2021,184,Vitthalwadi/Hingne,36.8,33.5,36.46,Positive
2660,224,241,4,12/1/2021,185,"Dattawadi, Rajaram Bridge",0,0,0,Negative
2660,224,241,4,12/1/2021,186,"Kasba peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
2660,224,241,4,12/1/2021,187,"Old bund garden, Yerwada",0,0,0,Negative
2660,224,241,4,12/1/2021,188,"RTO Office, Alandi road, Yerwada",36.26,35.24,0,Positive
2660,224,241,4,12/1/2021,189,"Shantinagar, Vishrantwadi",35.8,33.37,37.3,Positive
8602,1805,598,8,12/3/2021,190,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
8602,1805,598,8,12/3/2021,191,"Shastri Nagar, Pimpri",0,0,0,Negative
8602,1805,598,8,12/3/2021,192,"Kasarwadi, Pimple gurav road",0,0,0,Negative
8602,1805,598,8,12/3/2021,193,"Pimple Gurav, 60/feet road, Pimple Gurav",0,0,0,Negative
8602,1805,598,8,12/3/2021,194,"Dapodi gaothan, Old Sangvi bridge",0,0,0,Negative
25504,4953,4389,46,10/4/2021,1,"Sanjeevan Hospital, Kothrud",0,0,0,Negative
25504,4953,4389,46,10/4/2021,2,"Bus Depot (main), Kothrud",0,0,0,Negative
25504,4953,4389,46,10/4/2021,3,"Karve Road, Kothrud",0,0,0,Negative
25504,4953,4389,46,10/4/2021,4,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
25504,4953,4389,46,10/4/2021,5,Shivajinagar,0,0,0,Negative
25504,4953,4389,46,10/4/2021,6,"Pune/Mumbai Highway NH, Shivajinagar",0,0,0,Negative
22466,4849,3896,53,12/4/2021,195,"Rahatani, New DP road",0,0,0,Negative
22466,4849,3896,53,12/4/2021,196,"Kalewadi, Adarsh Nagar",0,0,0,Negative
22466,4849,3896,53,12/4/2021,197,Wolf Colony Pimpri,0,0,0,Negative
22466,4849,3896,53,12/4/2021,198,Dapodi Sai Service,0,0,0,Negative
22466,4849,3896,53,12/4/2021,199,"Dapodi, Harris Bridge",0,0,0,Negative
11499,1165,4010,51,10/5/2021,7,"Baner, Mahalunge Bridge",0,0,0,Negative
11499,1165,4010,51,10/5/2021,8,Baner/Balewadi,0,0,0,Negative
11499,1165,4010,51,10/5/2021,9,Pashan,0,0,0,Negative
11499,1165,4010,51,10/5/2021,10,"Sus/Pashan road, Pashan",0,0,0,Negative
5753,261,333,10,10/6/2021,11,"Dattawadi, Rajaram Bridge",0,0,0,Negative
5753,261,333,10,10/6/2021,12,"Vitthalwadi, Hingane, Sinhagad Road",0,0,0,Negative
5753,261,333,10,10/6/2021,13,"Juna Bazaar, Sangam Bridge, Shivajinagar",0,0,0,Negative
5753,261,333,10,10/6/2021,14,"RTO office, Alandi road Yerwada",0,0,0,Negative
5829,331,459,10,12/6/2021,200,"Vaidhwadi Nala Catchment, Shivajinagar",34.28,32.13,35.9,Positive
5829,331,459,10,12/6/2021,201,"Chaturshrungi Nala Catchment, Shivajinagar",36.2,35.6,37.1,Positive
5829,331,459,10,12/6/2021,202,"Sanjeevan Hospital, Kothrud",0,0,0,Negative
5829,331,459,10,12/6/2021,203,"Karve Road, Kothrud",0,0,0,Negative
5829,331,459,10,12/6/2021,204,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",36,34.41,36.3,Positive
5829,331,459,10,12/6/2021,205,"Bus Depot (main), Kothrud",0,0,0,Negative
7226,320,302,5,10/7/2021,15,"Aditya Birla Hospital, Chinchwad",0,0,0,Negative
7226,320,302,5,10/7/2021,16,"Laxminagar, Pimpri",0,0,0,Negative
7226,320,302,5,10/7/2021,17,"Pimple Gurav road, Kasarwadi",0,0,0,Negative
7226,320,302,5,10/7/2021,18,"60/feet road, pimple gurav",0,0,0,Negative
7226,320,302,5,10/7/2021,19,"Old Sangvi bridge, Dapodi Gaothan",33.7,31.6,33.2,Positive
4802,189,279,4,12/7/2021,206,"Mahalunge Road, Baner",0,0,0,Negative
4802,189,279,4,12/7/2021,207,"Balewadi Phata, Baner",0,0,0,Negative
4802,189,279,4,12/7/2021,208,"Pune/Mumbai Highway, Aundh/Sangvi",0,0,0,Negative
4802,189,279,4,12/7/2021,209,"DP road, Botanical Garden, Aundh",0,0,0,Negative
4802,189,279,4,12/7/2021,210,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
4802,189,279,4,12/7/2021,211,"Someshwarwadi, Pashan",0,0,0,Negative
