Sr. No,Date,Location,CtN,CtE,CtRdRp,PCR_Result
1,10/4/2021,"Sanjeevan Hospital, Kothrud",0,0,0,Negative
2,10/4/2021,"Bus Depot (main), Kothrud",0,0,0,Negative
3,10/4/2021,"Karve Road, Kothrud",0,0,0,Negative
4,10/4/2021,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
5,10/4/2021,Shivajinagar,0,0,0,Negative
6,10/4/2021,"Pune/Mumbai Highway NH, Shivajinagar",0,0,0,Negative
7,10/5/2021,"Baner, Mahalunge Bridge",0,0,0,Negative
8,10/5/2021,Baner/Balewadi,0,0,0,Negative
9,10/5/2021,Pashan,0,0,0,Negative
10,10/5/2021,"Sus/Pashan road, Pashan",0,0,0,Negative
11,10/6/2021,"Dattawadi, Rajaram Bridge",0,0,0,Negative
12,10/6/2021,"Vitthalwadi, Hingane, Sinhagad Road",0,0,0,Negative
13,10/6/2021,"Juna Bazaar, Sangam Bridge, Shivajinagar",0,0,0,Negative
14,10/6/2021,"RTO office, Alandi road Yerwada",0,0,0,Negative
15,10/7/2021,"Aditya Birla Hospital, Chinchwad",0,0,0,Negative
16,10/7/2021,"Laxminagar, Pimpri",0,0,0,Negative
17,10/7/2021,"Pimple Gurav road, Kasarwadi",0,0,0,Negative
18,10/7/2021,"60/feet road, pimple gurav",0,0,0,Negative
19,10/7/2021,"Old Sangvi bridge, Dapodi Gaothan",33.7,31.6,33.2,Positive
20,10/8/2021,"Rahatani, New DP road",35.7,35.6,0,Positive
21,10/8/2021,"Kalewadi Road, New India Garage",37.8,36.9,0,Positive
22,10/8/2021,"Pimpri, near Kalewadi Bridge",0,0,0,Negative
23,10/8/2021,Backside of Sai service Dapodi,0,0,0,Negative
24,10/8/2021,"Harris Bridge, Dapodi, Bopodi",0,0,0,Negative
25,10/9/2021,Yerwada bund Garden,0,0,0,Negative
26,10/9/2021,Vishrantwadi,38.7,37.5,36.1,Positive
27,10/11/2021,"Vaidhwadi Nala Catchment, Shivajinagar",36,34.9,36.3,Positive
28,10/11/2021,"Chaturshrungi Nala Catchment, Shivajinagar",33.8,33,34.6,Positive
29,10/11/2021,"Sanjeevan Hospital, Kothrud",35.3,34.6,35.8,Positive
30,10/11/2021,"Karve Road, Kothrud",35.7,0,34.5,Positive
31,10/11/2021,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",35.5,34.6,36.9,Positive
32,10/11/2021,"Bus Depot (main), Kothrud",34.1,32.3,33.5,Positive
33,10/12/2021,"Balewadi Phata, Baner",0,0,0,Negative
34,10/12/2021,"Jai Bhawani nagar, Pashan",0,0,0,Inconclusive
35,10/12/2021,"Someshwarwadi, Pashan",0,0,0,Negative
36,10/12/2021,"Irene Towers, Baner road, Aundh",0,0,0,Negative
37,10/12/2021,"Mahalunge Road, Baner",0,0,0,Inconclusive
38,13/10/2021,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
39,13/10/2021,"Shastri nagar, Pimpri",37,35.1,35.7,Positive
40,13/10/2021,"Kasarwadi, Pimple gurav road",35.2,35,36.4,Positive
41,13/10/2021,"Pimple Gurav, 60/feet road, Pimple Gurav",37.1,35.8,0,Positive
42,13/10/2021,"Dapodi gaothan, Old Sangvi bridge",0,0,0,Negative
43,13/10/2021,"Harris Bridge, Dapodi/Bopodi",0,0,0,Negative
44,13/10/2021,"Sandvik Cormorant, Phugewadi/Dapodi",0,0,0,Negative
45,13/10/2021,"Wolf Colony, Pimpri",0,0,0,Negative
46,13/10/2021,"Adarsh nagar, Kalewadi road, Kalewadi",36,35.6,38,Positive
47,18/10/2021,"Chaturshrungi Nala Catchment, Shivajinagar",0,0,0,Negative
48,18/10/2021,"Vaidhwadi Nala Catchment, Shivajinagar",0,33.7,35.2,Positive
49,18/10/2021,"Sanjeevan Hospital, Kothrud",0,0,0,Negative
50,18/10/2021,"Karve Road, Kothrud",0,0,0,Negative
51,18/10/2021,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,36.3,36.9,Positive
52,18/10/2021,"Bus Depot (main), Kothrud",0,0,0,Negative
53,19/10/2021,"Mahalunge Road, Baner",0,0,0,Negative
54,19/10/2021,"Balewadi Phata, Baner",37.5,33.8,36,Positive
55,19/10/2021,"Irene Towers, Baner road, Aundh",0,0,0,Negative
56,19/10/2021,"DP road, Botanical Garden, Aundh",0,0,0,Negative
57,19/10/2021,"Someshwarwadi, Pashan",0,0,0,Negative
58,19/10/2021,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
59,20/10/2021,"Dattawadi, Rajaram Bridge",37.2,34.4,35.2,Positive
60,20/10/2021,Vitthalwadi/Hingne,0,0,0,Negative
61,20/10/2021,"Kasba peth, Juna Bazaar, Shivajinagar",37.7,34.7,0,Positive
62,20/10/2021,"Old bund garden, Yerwada",37.8,36.4,36.5,Positive
63,20/10/2021,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
64,20/10/2021,"Shantinagar, Vishrantwadi",0,0,0,Positive
65,21/10/2021,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
66,21/10/2021,"Shastri Nagar, Pimpri",36.9,33.6,0,Positive
67,21/10/2021,"Kasarwadi, Pimple gurav road",0,0,0,Negative
68,21/10/2021,"Pimple Gurav, 60/feet road, Pimple Gurav",0,0,0,Negative
69,21/10/2021,"Dapodi gaothan, Old Sangvi bridge",0,0,0,Negative
70,22/10/2021,"New DP Road, Rahatani",0,0,0,Negative
71,22/10/2021,"Adarsh Nagar, Kalewadi road, Kalewadi",0,0,0,Negative
72,22/10/2021,"Sandvik Cormorant, Phugewadi/Dapodi",0,0,0,Negative
73,22/10/2021,"Harris Bridge, Dapodi/Bopodi",0,0,0,Negative
74,22/10/2021,"Chaturshrungi Nala Catchment, Shivajinagar",0,0,0,Negative
75,25/10/2021,"Vaidhwadi Nala Catchment, Shivajinagar",0,0,0,Negative
76,25/10/2021,"Chaturshrungi Nala Catchment, Shivajinagar",0,0,0,Negative
77,25/10/2021,"Sanjeevan Hospital, Kothrud",36.8,34.8,39,Positive
78,25/10/2021,"Karve Road, Kothrud",0,0,0,Negative
79,25/10/2021,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",36.5,35,33.7,Positive
80,25/10/2021,"Bus Depot (main), Kothrud",0,0,0,Positive
81,26/10/2021,"Mahalunge Road, Baner",0,0,0,Negative
82,26/10/2021,"Balewadi Phata, Baner",35.4,34.3,35.3,Positive
83,26/10/2021,"Pune/Mumbai Highway, Aundh/Sangvi",0,0,0,Negative
84,26/10/2021,"DP road, Botanical Garden, Aundh",36.9,35.4,37,Positive
85,26/10/2021,"Someshwarwadi, Pashan",0,0,0,Negative
86,26/10/2021,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
87,27/10/2021,"Dattawadi, Rajaram Bridge",0,0,0,Negative
88,27/10/2021,Vitthalwadi/Hingne,0,0,0,Negative
89,27/10/2021,"Kasba peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
90,27/10/2021,"Old bund garden, Yerwada",0,0,0,Negative
91,27/10/2021,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
92,27/10/2021,"Shantinagar, Vishrantwadi",0,0,0,Negative
93,11/9/2021,"Dattawadi, Rajaram Bridge",0,0,0,Negative
94,11/9/2021,Vitthalwadi/Hingne,0,0,0,Negative
95,11/9/2021,"Old bund garden, Yerwada",0,0,0,Negative
96,11/9/2021,"Kasba peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
97,11/9/2021,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
98,11/9/2021,"Shantinagar, Vishrantwadi",0,0,0,Negative
99,11/10/2021,"Vaidhwadi Nala Catchment, Shivajinagar",0,0,0,Negative
100,11/10/2021,"Chaturshrungi Nala Catchment, Shivajinagar",0,0,0,Negative
101,11/10/2021,"Sanjeevan Hospital, Kothrud",0,0,0,Negative
102,11/10/2021,"Karve Road, Kothrud",0,0,0,Negative
103,11/10/2021,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
104,11/10/2021,"Bus Depot (main), Kothrud",0,0,0,Negative
105,11/11/2021,"Mahalunge Road, Baner",0,0,0,Negative
106,11/11/2021,"Balewadi Phata, Baner",0,0,0,Negative
107,11/11/2021,"Pune/Mumbai Highway, Aundh/Sangvi",0,0,0,Negative
108,11/11/2021,"DP road, Botanical Garden, Aundh",0,0,0,Negative
109,11/11/2021,"Someshwarwadi, Pashan",0,0,0,Negative
110,11/11/2021,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
111,11/12/2021,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
112,11/12/2021,"Shastri Nagar, Pimpri",0,0,0,Negative
113,11/12/2021,"Kasarwadi, Pimple gurav road",0,0,0,Negative
114,11/12/2021,"Pimple Gurav, 60/feet road, Pimple Gurav",0,0,0,Negative
115,11/12/2021,"Dapodi gaothan, Old Sangvi bridge",0,0,0,Negative
116,15/11/2021,"Vaidhwadi Nala Catchment, Shivajinagar",0,0,0,Negative
117,15/11/2021,"Chaturshrungi Nala Catchment, Shivajinagar",0,0,0,Negative
118,15/11/2021,"Sanjeevan Hospital, Kothrud",0,0,0,Negative
119,15/11/2021,"Karve Road, Kothrud",0,0,0,Negative
120,15/11/2021,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
121,15/11/2021,"Bus Depot (main), Kothrud",0,0,0,Negative
122,16/10/2021,"Mahalunge Road, Baner",0,0,0,Negative
123,16/10/2021,"Balewadi Phata, Baner",0,0,0,Negative
124,16/10/2021,"Pune/Mumbai Highway, Aundh/Sangvi",0,0,0,Negative
125,16/10/2021,"DP road, Botanical Garden, Aundh",0,0,0,Negative
126,16/10/2021,"Someshwarwadi, Pashan",0,0,0,Negative
127,16/10/2021,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
128,17/11/2021,"Dattawadi, Rajaram Bridge",0,0,0,Negative
129,17/11/2021,Vitthalwadi/Hingne,0,0,0,Negative
130,17/11/2021,"Kasba peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
131,17/11/2021,"Old bund garden, Yerwada",0,0,0,Negative
132,17/11/2021,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
133,17/11/2021,"Shantinagar, Vishrantwadi",0,0,0,Negative
134,18/11/2021,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
135,18/11/2021,"Shastri Nagar, Pimpri",0,0,0,Negative
136,18/11/2021,"Kasarwadi, Pimple gurav road",0,0,0,Negative
137,18/11/2021,"Pimple Gurav, 60/feet road, Pimple Gurav",35,32.72,35,Positive
138,18/11/2021,"Dapodi gaothan, Old Sangvi bridge",0,0,0,Negative
139,19/11/2021,"New DP Road, Rahatani",0,0,0,Negative
140,19/11/2021,"Adarsh Nagar, Kalewadi road, Kalewadi",0,0,0,Negative
141,19/11/2021,"Wolf Colony, Pimpri",0,0,0,Negative
142,19/11/2021,"Sandvik Cormorant, Phugewadi/Dapodi",0,0,0,Negative
143,19/11/2021,"Harris Bridge, Dapodi/Bopodi",0,0,0,Negative
144,22/11/2021,"Vaidhwadi Nala Catchment, Shivajinagar",37.3,35.76,36.7,Positive
145,22/11/2021,"Chaturshrungi Nala Catchment, Shivajinagar",0,0,0,Negative
146,22/11/2021,"Sanjeevan Hospital, Kothrud",0,0,0,Negative
147,22/11/2021,"Karve Road, Kothrud",0,0,0,Negative
148,22/11/2021,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
149,22/11/2021,"Bus Depot (main), Kothrud",0,0,0,Negative
150,23/11/2021,"Mahalunge Road, Baner",0,0,0,Negative
151,23/11/2021,"Balewadi Phata, Baner",0,0,0,Negative
152,23/11/2021,"Pune/Mumbai Highway, Aundh/Sangvi",0,0,0,Negative
153,23/11/2021,"DP road, Botanical Garden, Aundh",0,0,0,Negative
154,23/11/2021,"Someshwarwadi, Pashan",0,0,0,Negative
155,23/11/2021,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
156,24/11/2021,"Dattawadi, Rajaram Bridge",0,0,0,Negative
157,24/11/2021,Vitthalwadi/Hingne,0,0,0,Negative
158,24/11/2021,"Kasba peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
159,24/11/2021,"Old bund garden, Yerwada",0,0,0,Negative
160,24/11/2021,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
161,24/11/2021,"Shantinagar, Vishrantwadi",0,0,0,Negative
162,25/11/2021,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
163,25/11/2021,"Shastri Nagar, Pimpri",0,0,0,Negative
164,25/11/2021,"Kasarwadi, Pimple gurav road",0,0,0,Negative
165,25/11/2021,"Pimple Gurav, 60/feet road, Pimple Gurav",0,0,0,Negative
166,25/11/2021,"Dapodi gaothan, Old Sangvi bridge",0,0,0,Negative
167,26/11/2021,"New DP Road, Rahatani",0,0,0,Negative
168,26/11/2021,"Adarsh Nagar, Kalewadi road, Kalewadi",0,0,0,Negative
169,26/11/2021,"Wolf Colony, Pimpri",0,0,0,Negative
170,26/11/2021,"Sandvik Cormorant, Phugewadi/Dapodi",0,0,0,Negative
171,26/11/2021,"Harris Bridge, Dapodi/Bopodi",0,0,0,Negative
172,29/11/2021,"Vaidhwadi Nala Catchment, Shivajinagar",0,0,0,Negative
173,29/11/2021,"Chaturshrungi Nala Catchment, Shivajinagar",33.4,31.84,34,Positive
174,29/11/2021,"Sanjeevan Hospital, Kothrud",35.43,0,36.7,Positive
175,29/11/2021,"Karve Road, Kothrud",0,0,0,Negative
176,29/11/2021,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",36.33,33.32,36.5,Positive
