Sr. No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
7,SSBS/M/2021/7,S-7,5/10/2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
8,SSBS/M/2021/8,S-8,5/10/2021,Baner-Balewadi,Genepath,0,0,0,Negative
33,SSBS/M/2021/33,S-33,12/10/2021,Baner-Balewadi,Genepath,0,0,0,Negative
37,SSBS/M/2021/37,S-37,12/10/2021,"Baner, Mahalunge Bridge",Genepath,36.1,0,37.2,Inconclusive
53,SSBS/M/2021/53,S-53,19-10-2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
54,SSBS/M/2021/54,S-54,19-10-2021,Baner-Balewadi,Genepath,33.8,36,37.5,Positive
81,SSBS/M/2021/81,S-81,26-10-2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
82,SSBS/M/2021/82,S-82,26-10-2021,Baner-Balewadi,Genepath,35.4,34.3,35.3,Positive
105,SSBS/W/2021/105,S-105,11/11/2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
106,SSBS/W/2021/106,S-106,11/11/2021,Baner-Balewadi,Genepath,0,0,0,Negative
122,SSBS/W/2021/122,S-122,16-10-2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
123,SSBS/W/2021/123,S-123,16-10-2021,Baner-Balewadi,Genepath,0,37,39.5,Negative
150,SSBS/W/2021/150,S-150,23-11-2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
151,SSBS/W/2021/151,S-151,23-11-2021,Baner-Balewadi,Genepath,0,0,0,Negative
178,SSBS/W/2021/178,S-178,30-11-2021,"Baner, Mahalunge Bridge",Genepath,36,0,0,Negative
179,SSBS/W/2021/179,S-179,30-11-2021,Baner-Balewadi,Genepath,0,37.96,35.93,Negative
206,SSBS/W/2021/206,S-206,7/12/2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
207,SSBS/W/2021/207,S-207,7/12/2021,Baner-Balewadi,Genepath,36.3,0,37.5,Negative
234,SSBS/W/2021/234,S-234,14-12-2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
