Sr. No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
14.0,SSBS/M/2021/14,S-14,06-10-2021,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
25.0,SSBS/M/2021/25,S-25,09-10-2021,Yerwada Old bund garden,Genepath,0.0,0.0,0.0,Negative
62.0,SSBS/M/2021/62,S-62,20-10-2021,Yerwada Old bund garden,Genepath,35.7,0.0,39.0,Positive
63.0,SSBS/M/2021/63,S-63,20-10-2021,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
90.0,SSBS/M/2021/90,S-90,27-10-2021,Yerwada Old bund garden,Genepath,0.0,0.0,0.0,Negative
91.0,SSBS/M/2021/91,S-91,27-10-2021,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
95.0,SSBS/W/2021/95,S-95,09-11-2021,Yerwada Old bund garden,Genepath,0.0,0.0,0.0,Negative
97.0,SSBS/W/2021/97,S-97,09-11-2021,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
131.0,SSBS/W/2021/131,S-131,17-11-2021,Yerwada Old bund garden,Genepath,0.0,0.0,0.0,Negative
132.0,SSBS/W/2021/132,S-132,17-11-2021,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
159.0,SSBS/W/2021/159,S-159,24-11-2021,Yerwada Old bund garden,Genepath,0.0,0.0,0.0,Negative
160.0,SSBS/W/2021/160,S-160,24-11-2021,RTO office Yerwada,Genepath,0.0,0.0,0.0,Negative
187.0,SSBS/W/2021/187,S-187,01-12-2021,Yerwada Old bund garden,Genepath,0.0,0.0,0.0,Negative
188.0,SSBS/W/2021/188,S-188,01-12-2021,RTO office Yerwada,Genepath,36.26,35.24,0.0,Positive
213.0,SSBS/W/2021/213,S-213,08-12-2021,RTO office Yerwada,Genepath,35.27,0.0,36.7,Positive
214.0,SSBS/W/2021/214,S-214,08-12-2021,Yerwada Old bund garden,Genepath,0.0,0.0,0.0,Negative
243.0,SSBS/W/2021/243,S-243,15-12-2021,Yerwada Old bund garden,Genepath,0.0,0.0,0.0,Negative
244.0,SSBS/W/2021/244,S-244,15-12-2021,RTO office Yerwada,Genepath,33.0,35.0,33.0,Positive
271.0,SSBS/W/2021/271,S-271,22-12-2021,Yerwada Old bund garden,Genepath,37.21,38.1,38.02,Negative
