Sr. No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
11.0,SSBS/M/2021/11,S-11,06-10-2021,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
59.0,SSBS/M/2021/59,S-59,20-10-2021,Dattawadi under rajaram bridge,Genepath,36.4,36.5,37.8,Positive
87.0,SSBS/M/2021/87,S-87,27-10-2021,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
93.0,SSBS/W/2021/93,S-93,09-11-2021,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
128.0,SSBS/W/2021/128,S-128,17-11-2021,Dattawadi under rajaram bridge,Genepath,0.0,39.1,0.0,Negative
156.0,SSBS/W/2021/156,S-156,24-11-2021,Dattawadi under rajaram bridge,Genepath,0.0,0.0,40.5,Negative
185.0,SSBS/W/2021/185,S-185,01-12-2021,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
216.0,SSBS/W/2021/216,S-216,08-12-2021,Dattawadi under rajaram bridge,Genepath,36.7,0.0,0.0,Negative
240.0,SSBS/W/2021/240,S-240,15-12-2021,Dattawadi under rajaram bridge,Genepath,22.0,0.0,32.0,Positive
268.0,SSBS/W/2021/268,S-268,22-12-2021,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
295.0,SSBS/W/2021/295,S-295,29-12-2021,Dattawadi under rajaram bridge,Genepath,32.7,37.0,34.9,Positive
317.0,SSBS/W/2022/317,S-317,04-01-2022,Dattawadi under rajaram bridge,Genepath,33.9,36.4,34.4,Positive
355.0,SSBS/W/2022/355,S-355,12-01-2022,Dattawadi under rajaram bridge,Genepath,28.83,32.55,32.21,Positive
379.0,SSBS/W/2022/379,S-379,19-01-2022,Dattawadi under rajaram bridge,Genepath,32.9,34.7,34.1,Positive
406.0,SSBS/W/2022/406,S-406,27-01-2022,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
434.0,SSBS/W/2022/434,S-434,02-02-2022,Dattawadi under rajaram bridge,Genepath,30.0,34.66,33.45,Positive
462.0,SSBS/S/2022/462,S-462,09-02-2022,Dattawadi under rajaram bridge,Genepath,35.5,36.86,36.21,Positive
490.0,SSBS/S/2022/490,S-490,16-02-2022,Dattawadi under rajaram bridge,Genepath,33.5,35.5,34.4,Positive
518.0,SSBS/S/2022/518,S-518,23-02-2022,Dattawadi under rajaram bridge,Genepath,36.63,39.09,35.14,Positive
550.0,SSBS/S/2022/550,S-550,02-03-2022,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
574.0,SSBS/S/2022/574,S-574,09-03-2022,Dattawadi under rajaram bridge,Genepath,38.88,0.0,39.55,Negative
602.0,SSBS/S/2022/602,S-602,16-03-2022,Dattawadi under rajaram bridge,Genepath,0.0,39.36,0.0,Negative
625.0,SSBS/S/2022/625,S-625,23-03-2022,Dattawadi under rajaram bridge,Genepath,0.0,34.76,0.0,Negative
653.0,SSBS/S/2022/653,S-653,30-03-2022,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
681.0,SSBS/S/2022/681,S-681,06-04-2022,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
709.0,SSBS/S/2022/709,S-709,13-04-2022,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
737.0,SSBS/S/2022/737,S-737,21-04-2022,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
764.0,SSBS/S/2022/764,S-764,27-04-2022,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
810.0,SSBS/S/2022/810,S-810,11-05-2022,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
838.0,SSBS/S/2022/838,S-838,18-05-2022,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
866.0,SSBS/S/2022/866,S-866,25-05-2022,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
894.0,SSBS/S/2022/894,S-894,01-06-2022,Dattawadi under rajaram bridge,Genepath,0.0,34.66,0.0,Negative
921.0,SSBS/S/2022/921,S-921,08-06-2022,Dattawadi under rajaram bridge,Genepath,32.36,34.59,33.8,Positive
948.0,SSBS/S/2022/948,S-948,15-06-2022,Dattawadi under rajaram bridge,Genepath,30.4,35.2,34.4,Positive
975.0,SSBS/S/2022/975,S-975,22-06-2023,Dattawadi under rajaram bridge,Genepath,27.0,31.0,30.0,Positive
1004.0,SSBS/S/2022/1004,S-1004,29-06-2022,Dattawadi under rajaram bridge,Genepath,36.5,39.9,37.2,Negative
1027.0,SSBS/M/2022/1027,S-1027,06-07-2022,Dattawadi under rajaram bridge,Genepath,28.6,32.4,31.8,Positive
1054.0,SSBS/M/2022/1054,S-1054,13-07-2022,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
1079.0,SSBS/M/2022/1079,S-1079,20-07-2022,Dattawadi under rajaram bridge,Genepath,28.5,32.9,32.0,Positive
1102.0,SSBS/M/2022/1102,S-1102,27-07-2022,Dattawadi under rajaram bridge,Genepath,34.1,38.5,36.9,Negative
1128.0,SSBS/M/2022/1128,S-1128,03-08-2022,Dattawadi under rajaram bridge,Genepath,30.75,35.52,34.12,Positive
1157.0,SSBS/M/2022/1157,S-1157,10-08-2022,Dattawadi under rajaram bridge,Genepath,32.3,32.89,33.4,Positive
1169.0,SSBS/M/2022/1169,S-1169,17-08-2022,Dattawadi under rajaram bridge,Genepath,29.39,31.87,30.53,Positive
1195.0,SSBS/M/2022/1195,S-1195,25-08-2022,Dattawadi under rajaram bridge,Genepath,35.56,0.0,37.84,Negative
1232.0,SSBS/M/2022/1232,S-1232,07-09-2022,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
1252.0,SSBS/M/2022/1252,S-1252,14-09-2022,Dattawadi under rajaram bridge,Genepath,29.4897,0.0,34.8105,Positive
1274.0,SSBS/M/2022/1274,S-1274,21-09-2022,Dattawadi under rajaram bridge,Genepath,0.0,37.5114,0.0,Negative
1296.0,SSBS/M/2022/1296,S-1296,28-09-2022,Dattawadi under rajaram bridge,Genepath,0.0,0.0,0.0,Negative
