Sr. No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
1.0,SSBS/M/2021/1,S-1,04-10-2021,Sanjeevan hospital Kothrud,Genepath,0.0,0.0,0.0,Negative
2.0,SSBS/M/2021/2,S-2,04-10-2021,Kothrud Bus depot,Genepath,0.0,0.0,0.0,Negative
3.0,SSBS/M/2021/3,S-3,04-10-2021,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
29.0,SSBS/M/2021/29,S-29,11-10-2021,Sanjeevan hospital Kothrud,Genepath,34.6,35.8,35.3,Positive
30.0,SSBS/M/2021/30,S-30,11-10-2021,Karve road Kothrud,Genepath,0.0,34.5,35.7,Positive
32.0,SSBS/M/2021/32,S-32,11-10-2021,Kothrud Bus depot,Genepath,32.3,33.5,34.1,Positive
49.0,SSBS/M/2021/49,S-49,18-10-2021,Sanjeevan hospital Kothrud,Genepath,0.0,0.0,0.0,Negative
50.0,SSBS/M/2021/50,S-50,18-10-2021,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
52.0,SSBS/M/2021/52,S-52,18-10-2021,Kothrud Bus depot,Genepath,37.2,37.6,0.0,Negative
77.0,SSBS/M/2021/77,S-77,25-10-2021,Sanjeevan hospital Kothrud,Genepath,36.8,34.8,39.0,Positive
78.0,SSBS/M/2021/78,S-78,25-10-2021,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
80.0,SSBS/M/2021/80,S-80,25-10-2021,Kothrud Bus depot,Genepath,35.8,39.3,0.0,Negative
101.0,SSBS/W/2021/101,S-101,10-11-2021,Sanjeevan hospital Kothrud,Genepath,0.0,0.0,0.0,Negative
102.0,SSBS/W/2021/102,S-102,10-11-2021,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
104.0,SSBS/W/2021/104,S-104,10-11-2021,Kothrud Bus depot,Genepath,0.0,0.0,0.0,Negative
118.0,SSBS/W/2021/118,S-118,15-11-2021,Sanjeevan hospital Kothrud,Genepath,39.2,0.0,0.0,Negative
119.0,SSBS/W/2021/119,S-119,15-11-2021,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
121.0,SSBS/W/2021/121,S-121,15-11-2021,Kothrud Bus depot,Genepath,39.2,39.0,37.7,Negative
146.0,SSBS/W/2021/146,S-146,22-11-2021,Sanjeevan hospital Kothrud,Genepath,39.4,38.4,0.0,Negative
147.0,SSBS/W/2021/147,S-147,22-11-2021,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
149.0,SSBS/W/2021/149,S-149,22-11-2021,Kothrud Bus depot,Genepath,0.0,0.0,0.0,Negative
174.0,SSBS/W/2021/174,S-174,29-11-2021,Sanjeevan hospital Kothrud,Genepath,0.0,36.7,35.43,Positive
175.0,SSBS/W/2021/175,S-175,29-11-2021,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
177.0,SSBS/W/2021/177,S-177,29-11-2021,Kothrud Bus depot,Genepath,0.0,0.0,0.0,Negative
202.0,SSBS/W/2021/202,S-202,06-12-2021,Sanjeevan hospital Kothrud,Genepath,0.0,0.0,0.0,Negative
203.0,SSBS/W/2021/203,S-203,06-12-2021,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
205.0,SSBS/W/2021/205,S-205,06-12-2021,Kothrud Bus depot,Genepath,0.0,0.0,37.8,Negative
230.0,SSBS/W/2021/230,S-230,13-12-2021,Sanjeevan hospital Kothrud,Genepath,34.0,39.0,36.0,Positive
231.0,SSBS/W/2021/231,S-231,13-12-2021,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
233.0,SSBS/W/2021/233,S-233,13-12-2021,Kothrud Bus depot,Genepath,0.0,0.0,0.0,Negative
258.0,SSBS/W/2021/258,S-258,20-12-2021,Sanjeevan hospital Kothrud,Genepath,34.9,0.0,36.35,Positive
259.0,SSBS/W/2021/259,S-259,20-12-2021,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
261.0,SSBS/W/2021/261,S-261,20-12-2021,Kothrud Bus depot,Genepath,35.46,37.95,35.9,Positive
291.0,SSBS/W/2021/291,S-291,28-12-2021,Sanjeevan hospital Kothrud,Genepath,31.7,36.3,34.8,Positive
292.0,SSBS/W/2021/292,S-292,28-12-2021,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
294.0,SSBS/W/2021/294,S-294,28-12-2021,Kothrud Bus depot,Genepath,31.7,35.4,34.0,Positive
313.0,SSBS/W/2022/313,S-313,03-01-2022,Sanjeevan hospital Kothrud,Genepath,0.0,0.0,0.0,Negative
314.0,SSBS/W/2022/314,S-314,03-01-2022,Karve road Kothrud,Genepath,35.9,36.8,35.8,Positive
316.0,SSBS/W/2022/316,S-316,03-01-2022,Kothrud Bus depot,Genepath,0.0,0.0,0.0,Negative
341.0,SSBS/W/2022/341,S-341,10-01-2022,Sanjeevan hospital Kothrud,Genepath,30.03,32.16,31.52,Positive
342.0,SSBS/W/2022/342,S-342,10-01-2022,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
344.0,SSBS/W/2022/344,S-344,10-01-2022,Kothrud Bus depot,Genepath,30.53,34.33,33.67,Positive
369.0,SSBS/W/2022/369,S-369,17-01-2022,Sanjeevan hospital Kothrud,Genepath,29.1,32.3,31.8,Positive
370.0,SSBS/W/2022/370,S-370,17-01-2022,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
372.0,SSBS/W/2022/372,S-372,17-01-2022,Kothrud Bus depot,Genepath,36.8,39.0,36.5,Positive
396.0,SSBS/W/2022/396,S-396,24-01-2022,Sanjeevan hospital Kothrud,Genepath,32.9,33.35,34.02,Positive
397.0,SSBS/W/2022/397,S-397,24-01-2022,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
399.0,SSBS/W/2022/399,S-399,24-01-2022,Kothrud Bus depot,Genepath,33.3,33.7,32.3,Positive
424.0,SSBS/W/2022/424,S-424,31-01-2022,Sanjeevan hospital Kothrud,Genepath,30.69,35.4,34.53,Positive
425.0,SSBS/W/2022/425,S-425,31-01-2022,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
427.0,SSBS/W/2022/427,S-427,31-01-2022,Kothrud Bus depot,Genepath,30.49,36.1,35.62,Positive
452.0,SSBS/S/2022/452,S-452,07-02-2022,Sanjeevan hospital Kothrud,Genepath,33.38,34.15,34.05,Positive
453.0,SSBS/S/2022/453,S-453,07-02-2022,Karve road Kothrud,Genepath,0.0,0.0,0.0,Negative
455.0,SSBS/S/2022/455,S-455,07-02-2022,Kothrud Bus depot,Genepath,36.2,36.0,35.9,Positive
