Sr. No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
5.0,SSBS/M/2021/5,S-5,04-10-2021,Shivajinagar,Genepath,0.0,0.0,0.0,Negative
6.0,SSBS/M/2021/6,S-6,04-10-2021,"Pune-Mumbai Highway NH, Shivajinagar",Genepath,0.0,0.0,0.0,Negative
13.0,SSBS/M/2021/13,S-13,06-10-2021,Shivajinagar Juna bazaar,Genepath,0.0,0.0,0.0,Negative
27.0,SSBS/M/2021/27,S-27,11-10-2021,Shivajinagar Vaidhawadi,Genepath,34.9,36.3,36.0,Positive
28.0,SSBS/M/2021/28,S-28,11-10-2021,Shivajinagar Chaturshringi,Genepath,33.0,34.6,33.8,Positive
47.0,SSBS/M/2021/47,S-47,18-10-2021,Shivajinagar Chaturshringi,Genepath,0.0,0.0,0.0,Negative
48.0,SSBS/M/2021/48,S-48,18-10-2021,Shivajinagar Vaidhawadi,Genepath,33.7,35.2,0.0,Positive
61.0,SSBS/M/2021/61,S-61,20-10-2021,Shivajinagar Juna bazaar,Genepath,0.0,0.0,0.0,Positive
74.0,SSBS/M/2021/74,S-74,22-10-2021,Shivajinagar Chaturshringi,Genepath,38.8,0.0,0.0,Negative
75.0,SSBS/M/2021/75,S-75,25-10-2021,Shivajinagar Vaidhawadi,Genepath,0.0,0.0,0.0,Negative
76.0,SSBS/M/2021/76,S-76,25-10-2021,Shivajinagar Chaturshringi,Genepath,0.0,0.0,0.0,Negative
89.0,SSBS/M/2021/89,S-89,27-10-2021,Shivajinagar Juna bazaar,Genepath,0.0,0.0,0.0,Negative
96.0,SSBS/W/2021/96,S-96,09-11-2021,Shivajinagar Juna bazaar,Genepath,0.0,0.0,0.0,Negative
99.0,SSBS/W/2021/99,S-99,10-11-2021,Shivajinagar Vaidhawadi,Genepath,0.0,0.0,0.0,Negative
100.0,SSBS/W/2021/100,S-100,10-11-2021,Shivajinagar Chaturshringi,Genepath,0.0,0.0,0.0,Negative
116.0,SSBS/W/2021/116,S-116,15-11-2021,Shivajinagar Vaidhawadi,Genepath,0.0,0.0,38.6,Negative
117.0,SSBS/W/2021/117,S-117,15-11-2021,Shivajinagar Chaturshringi,Genepath,0.0,0.0,0.0,Negative
